Polytope 3 (34 inequalities)
1 | a_1 | a_2 | a_3 | 𝛼_1 | 𝛼_2 | 𝛼_3
--+-----+-----+-----+-----+-----+----
0 | -1  | 0   | 0   | 1   | 1   | 1  
0 | -1  | 1   | -1  | 0   | 2   | 2  
0 | -1  | 1   | -1  | 2   | 0   | 2  
0 | -1  | 1   | -1  | 2   | 2   | 0  
0 | 0   | -1  | -1  | 1   | 1   | 1  
0 | 0   | 0   | -1  | 0   | 0   | 1  
0 | 0   | 0   | -1  | 1   | 1   | 0  
0 | 0   | 0   | 0   | 0   | 1   | 0  
0 | 0   | 0   | 0   | 1   | 0   | 0  
0 | 0   | 0   | 1   | 0   | 0   | 0  
0 | 0   | 1   | -1  | 0   | 0   | 0  
0 | 0   | 1   | 0   | -1  | 1   | 1  
0 | 0   | 1   | 0   | 1   | -1  | 1  
0 | 0   | 1   | 0   | 1   | 1   | -1 
0 | 1   | -1  | -1  | 0   | 2   | 0  
0 | 1   | -1  | -1  | 2   | 0   | 0  
0 | 1   | -1  | 0   | 0   | 0   | 0  
0 | 1   | 0   | -1  | -1  | 1   | 1  
0 | 1   | 0   | -1  | 1   | -1  | 1  
0 | 1   | 0   | -1  | 1   | 1   | -1 
1 | -1  | -1  | 0   | 0   | 0   | 0  
1 | -1  | 0   | -1  | -1  | 1   | 1  
1 | -1  | 0   | -1  | 1   | -1  | 1  
1 | 0   | -1  | -1  | -1  | 1   | 0  
1 | 0   | -1  | -1  | 1   | -1  | 0  
1 | 0   | 0   | -1  | -1  | 1   | -1 
1 | 0   | 0   | -1  | 1   | -1  | -1 
1 | 0   | 0   | 0   | -2  | 0   | 0  
1 | 0   | 0   | 0   | 0   | -2  | 0  
1 | 0   | 0   | 0   | 0   | 0   | -2 
2 | -1  | -1  | -1  | -2  | 2   | 0  
2 | -1  | -1  | -1  | 0   | 2   | -2 
2 | -1  | -1  | -1  | 2   | -2  | 0  
2 | -1  | -1  | -1  | 2   | 0   | -2 
